date,fx,upDown,IR2,Up/Down (2),IR5,Up/Down (5),IR10,Up/Down (10)
04/01/2000,1.636,1,1.452,1,1.058,1,0.365,1
05/01/2000,1.6426,1,1.412,0,1.028,0,0.36,0
06/01/2000,1.6474,0,1.464,1,1.118,1,0.439,1
07/01/2000,1.6393,0,1.402,0,1.076,0,0.392,0
10/01/2000,1.6374,1,1.299,0,0.968,0,0.278,0
11/01/2000,1.6475,0,1.296,0,0.947,0,0.258,0
12/01/2000,1.6466,1,1.269,0,0.929,0,0.254,0
13/01/2000,1.6472,0,1.305,1,0.949,1,0.233,0
14/01/2000,1.6313,1,1.276,0,0.912,0,0.231,0
18/01/2000,1.6379,1,1.348,1,1.007,1,0.319,1
19/01/2000,1.645,1,1.323,0,0.982,0,0.269,0
20/01/2000,1.6537,0,1.3,0,0.97,0,0.256,0
21/01/2000,1.6487,1,1.314,1,0.961,0,0.235,0
24/01/2000,1.6531,0,1.353,1,1.023,1,0.289,1
25/01/2000,1.6452,0,1.289,0,0.952,0,0.214,0
26/01/2000,1.6403,0,1.243,0,0.926,0,0.241,1
27/01/2000,1.6396,0,1.251,1,0.921,0,0.323,1
28/01/2000,1.6201,0,1.211,0,0.942,1,0.382,1
31/01/2000,1.6162,0,1.142,0,0.855,0,0.273,0
01/02/2000,1.615,0,1.093,1,0.763,1,0.172,1
02/02/2000,1.6088,0,1.05,0,0.783,1,0.235,1
03/02/2000,1.5972,0,1.106,1,0.911,1,0.263,1
04/02/2000,1.5918,1,1.062,0,0.829,0,0.293,1
07/02/2000,1.598,1,1.029,0,0.775,0,0.219,0
08/02/2000,1.6113,1,0.994,0,0.741,0,0.203,0
09/02/2000,1.6169,0,1.032,1,0.782,1,0.193,0
10/02/2000,1.6097,0,1.018,0,0.737,0,0.221,1
11/02/2000,1.5936,0,0.968,0,0.738,1,0.244,1
14/02/2000,1.588,1,0.926,0,0.682,0,0.224,0
15/02/2000,1.596,1,0.948,1,0.677,0,0.24,1
16/02/2000,1.6077,1,1.094,1,0.801,1,0.351,1
17/02/2000,1.609,0,0.996,0,0.712,0,0.287,0
18/02/2000,1.6013,1,1.012,1,0.739,1,0.318,1
22/02/2000,1.6126,0,1.009,0,0.702,0,0.27,0
23/02/2000,1.6039,0,0.97,0,0.652,0,0.229,0
24/02/2000,1.6003,0,1.045,1,0.653,1,0.186,0
25/02/2000,1.5953,1,1.179,1,0.742,1,0.217,1
28/02/2000,1.5958,0,1.078,0,0.64,0,0.141,0
29/02/2000,1.5792,1,0.189,1,-0.23,1,-0.659,1
01/03/2000,1.5854,0,0.459,1,0.06,1,-0.364,1
02/03/2000,1.5766,1,0.458,0,0.072,1,-0.338,1
03/03/2000,1.5778,0,0.452,0,0.015,0,-0.419,0
06/03/2000,1.5749,1,0.381,0,-0.058,0,-0.499,0
07/03/2000,1.5804,1,0.412,1,-0.017,1,-0.489,1
08/03/2000,1.5817,1,0.412,0,-0.008,1,-0.485,1
